proposedSlug,name,certificateNos,ministryDistricts,placeId,pricingRegion,pricingName,vitoPrice,sprinterPrice,status,reviewReasons
"michell-hotel","MICHELL HOTEL","2022-7-0050","ALANYA","ChIJKXk_kpWZ3BQRWatrnHfzFWw","alanya_dogu","Doğu Alanya","80","105","ready",""
"senza-grand-santana-otel","SENZA GRAND SANTANA OTEL","22309","ALANYA","ChIJHzb1Owia3BQRuprj6kxeB44","alanya_dogu","Doğu Alanya","80","105","ready",""
"senza-sunset-beach-hotel","SENZA SUNSET BEACH HOTEL","26069","ALANYA","ChIJoT9uAZmv3BQRjIDHhIiS_0I","alanya_dogu","Doğu Alanya","80","105","ready",""
"viva-beach-hotel","VİVA BEACH HOTEL","2022-7-0196","ALANYA","ChIJp9HyP-KR3BQRh635RQRhgSI","alanya_dogu","Doğu Alanya","80","105","ready",""
"acar-otel","ACAR OTEL","2022-7-0184","ALANYA","ChIJ0-G-n1SY3BQR9tvOcLK968s","alanya_merkez","Alanya merkez","75","95","ready",""
"alaiye-kleopatra-otel","ALAİYE KLEOPATRA OTEL","2025","ALANYA","ChIJJfo_QYWi3BQR19WayxMqxFs","alanya_merkez","Alanya merkez","75","95","ready",""
"alanya-beach","ALANYA BEACH","9694","ALANYA","ChIJU_0_KgCl3BQRbzzmbciVoPc","alanya_merkez","Alanya merkez","75","95","ready",""
"alanya-buyuk-otel","ALANYA BÜYÜK OTEL","1352","ALANYA","ChIJwSpey3CY3BQRaXqLcW0enP0","alanya_merkez","Alanya merkez","75","95","ready",""
"alanya-risus-park-otel","ALANYA RISUS PARK OTEL","2022-7-1106","ALANYA","ChIJu9_R2cKZ3BQRVwLasaaTrwQ","alanya_merkez","Alanya merkez","75","95","ready",""
"alanya-sunway-hotel","ALANYA SUNWAY HOTEL","20400","ALANYA","ChIJnwibj5yi3BQRgDjMHSxy-Yk","alanya_merkez","Alanya merkez","75","95","ready",""
"alin-otel","ALİN OTEL","11388","ALANYA","ChIJ4-n3soeY3BQR-p1oqIOVIsg","alanya_merkez","Alanya merkez","75","95","ready",""
"anna-queen-hotel","ANNA QUEEN HOTEL","10469","ALANYA","ChIJf41tm5yi3BQRKE1jXhl4xz0","alanya_merkez","Alanya merkez","75","95","ready",""
"antique-roman-palace","ANTIQUE ROMAN PALACE","9115","ALANYA","ChIJgQl_hyu7yhQRJ_VreFWnank","alanya_merkez","Alanya merkez","75","95","ready",""
"arsi-enfi-city-beach-otel","ARSİ ENFİ CITY BEACH OTEL","2022-7-0630","ALANYA","ChIJL_aIvmCY3BQRoLqCYisIwL0","alanya_merkez","Alanya merkez","75","95","ready",""
"avena-mountain-otel","AVENA MOUNTAIN OTEL","25204","ALANYA","ChIJmTaNVzuh3BQRtDA_pRMuyOE","alanya_merkez","Alanya merkez","75","95","ready",""
"avlion-otel","AVLİON OTEL","24043","ALANYA","ChIJL-PmWvSj3BQRETxNs8T0CmQ","alanya_merkez","Alanya merkez","75","95","ready",""
"aysev-otel","AYSEV OTEL","2022-7-1130","ALANYA","ChIJW9-0Z5ui3BQRyTVKUDLfofc","alanya_merkez","Alanya merkez","75","95","ready",""
"azak-beach-otel","AZAK BEACH OTEL","7379","ALANYA","ChIJT7SmK5ui3BQR2WzD-XREde8","alanya_merkez","Alanya merkez","75","95","ready",""
"azak-otel","AZAK OTEL","10945","ALANYA","ChIJX2aDUIWi3BQRrvRtHs6saiY","alanya_merkez","Alanya merkez","75","95","ready",""
"balik-otel","BALIK OTEL","3307","ALANYA","ChIJU1-2jYyi3BQRrenT-RkXW-k","alanya_merkez","Alanya merkez","75","95","ready",""
"best-house-otel","BEST HOUSE OTEL","2022-7-1266","ALANYA","ChIJh0L7YISi3BQRPVumZqmi0Qw","alanya_merkez","Alanya merkez","75","95","ready",""
"blue-diamond-alya-hotel","BLUE DIAMOND ALYA HOTEL","2863","ALANYA","ChIJ2VD-UAuZ3BQRpfCRFiPHH2Y","alanya_merkez","Alanya merkez","75","95","ready",""
"blue-dream-hotel","BLUE DREAM HOTEL","2022-7-1144","ALANYA","ChIJNRioU16Y3BQR8mT0PGX_oXg","alanya_merkez","Alanya merkez","75","95","ready",""
"blue-star-otel","BLUE STAR OTEL","10048","ALANYA","ChIJLxwW1oei3BQRaOOC-eJEN4k","alanya_merkez","Alanya merkez","75","95","ready",""
"boulevard-otel","BOULEVARD OTEL","2687","ALANYA","ChIJoUryEmSY3BQRdGmvKjfWfvs","alanya_merkez","Alanya merkez","75","95","ready",""
"castello-by-mediterra-hotel","CASTELLO BY MEDITERRA HOTEL","26458","ALANYA","ChIJr0O9QQCZ3BQR9xjLEReEn0w","alanya_merkez","Alanya merkez","75","95","ready",""
"club-big-blue-suite-hotel","CLUB BIG BLUE SUITE HOTEL","17987","ALANYA","ChIJ7Wr6M1aY3BQRUBqEr53ga_M","alanya_merkez","Alanya merkez","75","95","ready",""
