certificateNo,name,documentType,facilityType,facilityClass,city,district,placeId,reason
"2022-7-0456","HEDEF RESORT OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJywYLt_ak3BQRCeoqRP2KJfA","operational-confirmed"
"2022-7-0557","HİLAL OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJf0UNGY-i3BQRnxPQ7U5R8OA","operational-confirmed"
"12490","HOTEL GOLDEN SUN","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","KEMER","ChIJM6oDiBe_wxQR1BHumrwC-qE","operational-confirmed"
"3073","HOTEL ÖZKAYMAK","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJGRrpPIWY3BQRCxOzOHfMWpo","operational-confirmed"
"2022-7-1273","İLLUSİON BEACH CLUB HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJARtI_AKj3BQRGN70Yc2ggnI","operational-confirmed"
"9019","KADEER HOTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJtVCnTGOZ3BQRh7-PKhTajN4","operational-confirmed"
"11547","KAHYA OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJT7SmK5ui3BQRu2rLo0SrdgQ","operational-confirmed"
"16205","KAİLA BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","5 Yıldızlı","ANTALYA","ALANYA","ChIJq6ouu62Z3BQRmBuOsH4aqqY","operational-confirmed"
"4698","KAİLA KRİZANTEM OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJM0S4plOY3BQRKXv2fiBeUao","operational-confirmed"
"19848","KANDELOR OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJMZDcp4eY3BQRx0j6UC4YRE8","operational-confirmed"
"3695","KLEOPATRA ADA BEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJYx7HNoyi3BQRmw8phqLQfs4","operational-confirmed"
"15354","KLEOPATRA ARSİ OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJ9zj9UI6i3BQRVsRT1KMjI0M","operational-confirmed"
"4114","KLEOPATRA BEACH OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJZ4-SjI6i3BQRCbOWThGjvTU","operational-confirmed"
"8543","KLEOPATRA BEBEK OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJHzvvPJui3BQRwbUZNFCHq0g","operational-confirmed"
"2022-7-0257","KLEOPATRA CARINA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJHRSqXZui3BQR33c_E7F_2to","operational-confirmed"
"10367","KLEOPATRA LIFE OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJR2bb19uj3BQRig8nxSdrAnk","operational-confirmed"
"7904","KLEOPATRA MİCADOR","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJCTkQHYWY3BQR6m17Pxmigo0","operational-confirmed"
"17085","KLEOPATRA RAMİRA HOTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJHxrDsoCi3BQRUkPdgpnrmuc","operational-confirmed"
"11078","KLEOPATRA ROYAL PALM OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJHSfADYyi3BQRzenOqFtT4Lk","operational-confirmed"
"2022-7-0564","KLEOPATRA SAHARA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ0_wj_I6i3BQReWaUND8lLUY","operational-confirmed"
"26130","KLEOPATRA SMİLE OTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJX8WLP3Gj3BQRfCO9VFordoE","operational-confirmed"
"2022-7-0288","LONİCERA CİTY HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJ2bASvoWi3BQRvvXi18BjbVE","operational-confirmed"
"2022-7-1575","MAGIC SUN OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJsbD2wqW_wxQRpbcfWCY8KgM","operational-confirmed"
"13654","MERHABA OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJjSYMTmSY3BQRbQPrhAt-rdA","operational-confirmed"
"2022-7-1670","MESUT OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJyb-hD1OY3BQRen29vJoAtkA","operational-confirmed"
"2148","MISS CLEOPATRA HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJCYVFBo-i3BQRMx9MzV6CV6E","operational-confirmed"
"2022-7-0590","MİDİ SUİTES OTEL","Basit Konaklama","HOTEL","","ANTALYA","ALANYA","ChIJzTgWSniZ3BQRyWrocb9b2T8","operational-confirmed"
"4579","MİRAY OTEL","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJX9VhHgCj3BQRreNAz_A2WP0","operational-confirmed"
"2022-7-0428","MOLA OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJy1Xjj5yi3BQRG30ybHKWA9U","operational-confirmed"
"3139","MONART CITY OTEL","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJEbeQUlmY3BQRLoyHlb5VpXg","operational-confirmed"
"5072","MONTE CARLO","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJS9qannCY3BQRCWcOR-FQc8Y","operational-confirmed"
"23119","MOONBOW BEACH HOTEL","Turizm İşletmesi Belgesi","Otel","2 Yıldızlı","ANTALYA","ALANYA","ChIJM6tELquZ3BQRVVhIP9gbamg","operational-confirmed"
"2022-7-1481","MORE OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJe-02_gW_wxQRNE_7JY8yvso","operational-confirmed"
"2022-7-0202","MUZ OTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJAQAAFRuj3BQRxdIz_2QIHt4","operational-confirmed"
"6312","NOVİS HOTEL CLEOPATRA","Turizm İşletmesi Belgesi","Otel","3 Yıldızlı","ANTALYA","ALANYA","ChIJT9StywGj3BQR-JVeyrq_MEk","operational-confirmed"
"12951","OBA STAR OTEL & SPA","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","ALANYA","ChIJsaaLblOY3BQRttAplmH1ySs","operational-confirmed"
"2022-7-1581","OLYA OTEL","Basit Konaklama","OTEL","","ANTALYA","KEMER","ChIJneNml35XwxQR2Av0c6foDYc","operational-confirmed"
"11177","ONKEL HOTELS BELDİBİ RESORT","Turizm İşletmesi Belgesi","Otel","4 Yıldızlı","ANTALYA","KEMER","ChIJq7UfIwaQwxQR06SkwIXeugU","operational-confirmed"
"2022-7-1299","PALM CİTY ALANYA HOTEL","Basit Konaklama","HOTEL","","ANTALYA","ALANYA","ChIJB88n3ruZ3BQRHCm5mOFIhaU","operational-confirmed"
"2022-7-0093","RAMİRA JOY HOTEL","Basit Konaklama","OTEL","","ANTALYA","ALANYA","ChIJB0ulN4Ki3BQR10ot_we9EbA","operational-confirmed"
